DATAPLANID	LINESHORTNAME	LINEID	ORIENTATION	TOTALSTOPS	TRIPLENGTH	TASKID	TRIPID	TRIPSTARTTIME	SCHEDULETYPEID	TRIPTYPEID	PLANVERSIONID	TRANSPORTCONTRATIST	REGISTERDATE	TRIPENDTIME	TRIPTRANSITTIME
3530609	A35	335	1	21	8171	509	200	82525	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	84125	1600
3530610	A35	335	1	21	8171	509	204	84205	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	85805	1600
3530611	A35	335	1	13	4956	509	208	86065	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	87000	935
3530612	A35	335	1	21	8171	656	4	16885	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	18600	1715
3530613	A35	335	1	21	8171	656	9	18685	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	20400	1715
3530614	A35	335	1	21	8171	656	14	20485	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	22200	1715
3530615	A35	335	1	21	8171	656	21	22285	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	24000	1715
3530616	A35	335	1	21	8171	656	28	24085	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	25800	1715
3530617	A35	335	1	21	8171	656	35	25885	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	27600	1715
3530618	A35	335	1	21	8171	656	42	27805	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	29520	1715
3530619	A35	335	1	21	8171	656	50	29845	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	31445	1600
3530620	A35	335	1	21	8171	656	56	31645	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	33245	1600
3530621	A35	335	1	21	8171	656	61	33325	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	34925	1600
3530622	A35	335	1	21	8171	656	65	35005	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	36605	1600
3530623	A35	335	1	21	8171	656	68	36685	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	38285	1600
3532372	A47	347	1	17	5466	843	182	47450	1951012	1	40	ETM	2013-05-03 08:23:01	48455	1005
3532373	A47	347	0	16	5428	843	563	48485	1951012	1	40	ETM	2013-05-03 08:23:01	49555	1070
3532374	A47	347	1	17	5466	843	192	49610	1951012	1	40	ETM	2013-05-03 08:23:01	50615	1005
3532375	A47	347	0	16	5428	843	573	50645	1951012	1	40	ETM	2013-05-03 08:23:01	51715	1070
3532376	A47	347	1	17	5466	843	202	51770	1951012	1	40	ETM	2013-05-03 08:23:01	52775	1005
3532377	A47	347	0	16	5428	843	583	52805	1951012	1	40	ETM	2013-05-03 08:23:01	53875	1070
3532378	A47	347	1	17	5466	843	212	53930	1951012	1	40	ETM	2013-05-03 08:23:01	54935	1005
3532379	A47	347	0	16	5428	843	593	54965	1951012	1	40	ETM	2013-05-03 08:23:01	56035	1070
3532380	A47	347	1	17	5466	843	222	56090	1951012	1	40	ETM	2013-05-03 08:23:01	57095	1005
3532381	A47	347	0	16	5428	843	603	57125	1951012	1	40	ETM	2013-05-03 08:23:01	58195	1070
3532382	A47	347	1	17	5466	843	233	58250	1951012	1	40	ETM	2013-05-03 08:23:01	59255	1005
3532383	A47	347	0	16	5428	843	614	59285	1951012	1	40	ETM	2013-05-03 08:23:01	60355	1070
3532384	A47	347	1	17	5466	843	244	60410	1951012	1	40	ETM	2013-05-03 08:23:01	61415	1005
3532385	A47	347	0	16	5428	843	626	61445	1951012	1	40	ETM	2013-05-03 08:23:01	62515	1070
3532386	A47	347	1	17	5466	843	259	62750	1951012	1	40	ETM	2013-05-03 08:23:01	63755	1005
3532387	A47	347	0	16	5428	843	641	63785	1951012	1	40	ETM	2013-05-03 08:23:01	64855	1070
3532388	A47	347	1	17	5466	843	274	64910	1951012	1	40	ETM	2013-05-03 08:23:01	65915	1005
3532389	A47	347	0	16	5428	843	656	65945	1951012	1	40	ETM	2013-05-03 08:23:01	67015	1070
3532390	A47	347	1	17	5466	843	289	67070	1951012	1	40	ETM	2013-05-03 08:23:01	68075	1005
3532391	A47	347	0	16	5428	843	671	68105	1951012	1	40	ETM	2013-05-03 08:23:01	69175	1070
3532392	A47	347	1	17	5466	843	304	69230	1951012	1	40	ETM	2013-05-03 08:23:01	70235	1005
3532393	A47	347	0	16	5428	843	686	70265	1951012	1	40	ETM	2013-05-03 08:23:01	71335	1070
3532394	A47	347	1	17	5466	843	318	71390	1951012	1	40	ETM	2013-05-03 08:23:01	72395	1005
3532395	A47	347	0	16	5428	843	700	72425	1951012	1	40	ETM	2013-05-03 08:23:01	73495	1070
3532396	A47	347	1	20	6415	843	328	73550	1951012	1	40	ETM	2013-05-03 08:23:01	74790	1240
3532397	A47	347	0	16	5428	843	709	74820	1951012	1	40	ETM	2013-05-03 08:23:01	75890	1070
3532398	A47	347	1	20	6415	843	337	75920	1951012	1	40	ETM	2013-05-03 08:23:01	77160	1240
3532399	A47	347	0	16	5428	843	719	77190	1951012	1	40	ETM	2013-05-03 08:23:01	78260	1070
3532400	A47	347	1	20	6415	843	346	78290	1951012	1	40	ETM	2013-05-03 08:23:01	79530	1240
3532401	A47	347	0	16	5428	843	728	79560	1951012	1	40	ETM	2013-05-03 08:23:01	80630	1070
3532402	A47	347	1	20	6415	843	352	80690	1951012	1	40	ETM	2013-05-03 08:23:01	81930	1240
3532403	A47	347	0	16	5428	843	734	81960	1951012	1	40	ETM	2013-05-03 08:23:01	83030	1070
3532404	A47	347	1	20	6415	843	358	83150	1951012	1	40	ETM	2013-05-03 08:23:01	84390	1240
3532405	A47	347	0	16	5428	843	740	84420	1951012	1	40	ETM	2013-05-03 08:23:01	85490	1070
3532406	A47	347	1	20	6415	843	364	85670	1951012	1	40	ETM	2013-05-03 08:23:01	86910	1240
3532407	A47	347	0	16	5428	843	744	86940	1951012	1	40	ETM	2013-05-03 08:23:01	88010	1070
3532408	A47	347	1	20	6415	983	8	18180	1951012	1	40	Unimetro	2013-05-03 08:23:01	19420	1240
3532409	A47	347	0	16	5428	983	386	19450	1951012	1	40	Unimetro	2013-05-03 08:23:01	20520	1070
3532410	A47	347	1	20	6415	983	23	20580	1951012	1	40	Unimetro	2013-05-03 08:23:01	21820	1240
3532411	A47	347	0	16	5428	983	400	21850	1951012	1	40	Unimetro	2013-05-03 08:23:01	22920	1070
3532412	A47	347	1	17	5466	983	39	22980	1951012	1	40	Unimetro	2013-05-03 08:23:01	23985	1005
3532413	A47	347	0	16	5428	983	419	24015	1951012	1	40	Unimetro	2013-05-03 08:23:01	25085	1070
3532414	A47	347	1	17	5466	983	58	25140	1951012	1	40	Unimetro	2013-05-03 08:23:01	26145	1005
3532415	A47	347	0	16	5428	983	438	26175	1951012	1	40	Unimetro	2013-05-03 08:23:01	27245	1070
3532416	A47	347	1	17	5466	983	77	27300	1951012	1	40	Unimetro	2013-05-03 08:23:01	28305	1005
3532417	A47	347	0	16	5428	983	457	28335	1951012	1	40	Unimetro	2013-05-03 08:23:01	29405	1070
3532418	A47	347	1	17	5466	984	226	57045	1951012	1	40	Unimetro	2013-05-03 08:23:01	58050	1005
3532419	A47	347	0	16	5428	984	607	58080	1951012	1	40	Unimetro	2013-05-03 08:23:01	59150	1070
3532420	A47	347	1	17	5466	984	237	59205	1951012	1	40	Unimetro	2013-05-03 08:23:01	60210	1005
3532421	A47	347	0	16	5428	984	618	60240	1951012	1	40	Unimetro	2013-05-03 08:23:01	61310	1070
3532422	A47	347	1	17	5466	984	250	61485	1951012	1	40	Unimetro	2013-05-03 08:23:01	62490	1005
3532423	A47	347	0	16	5428	984	632	62520	1951012	1	40	Unimetro	2013-05-03 08:23:01	63590	1070
3532424	A47	347	1	17	5466	984	265	63705	1951012	1	40	Unimetro	2013-05-03 08:23:01	64710	1005
3532425	A47	347	0	16	5428	984	647	64740	1951012	1	40	Unimetro	2013-05-03 08:23:01	65810	1070
3532426	A47	347	1	17	5466	984	280	65865	1951012	1	40	Unimetro	2013-05-03 08:23:01	66870	1005
3532427	A47	347	0	16	5428	984	662	66900	1951012	1	40	Unimetro	2013-05-03 08:23:01	67970	1070
3532428	A47	347	1	17	5466	984	295	68025	1951012	1	40	Unimetro	2013-05-03 08:23:01	69030	1005
3532429	A47	347	0	16	5428	984	677	69060	1951012	1	40	Unimetro	2013-05-03 08:23:01	70130	1070
3532430	A47	347	1	17	5466	984	309	70170	1951012	1	40	Unimetro	2013-05-03 08:23:01	71175	1005
3532431	A47	347	0	16	5428	984	691	71205	1951012	1	40	Unimetro	2013-05-03 08:23:01	72275	1070
3532432	A47	347	1	20	6415	984	323	72510	1951012	1	40	Unimetro	2013-05-03 08:23:01	73750	1240
3532433	A47	347	0	16	5428	984	705	73780	1951012	1	40	Unimetro	2013-05-03 08:23:01	74850	1070
3532434	A47	347	1	20	6415	984	333	74970	1951012	1	40	Unimetro	2013-05-03 08:23:01	76210	1240
3532435	A47	347	0	16	5428	984	715	76240	1951012	1	40	Unimetro	2013-05-03 08:23:01	77310	1070
3532436	A47	347	1	20	6415	984	342	77370	1951012	1	40	Unimetro	2013-05-03 08:23:01	78610	1240
3532437	A47	347	0	16	5428	984	724	78640	1951012	1	40	Unimetro	2013-05-03 08:23:01	79710	1070
3532438	A47	347	0	16	5428	985	377	18160	1951012	1	40	ETM	2013-05-03 08:23:01	19230	1070
3532439	A47	347	1	20	6415	985	14	19380	1951012	1	40	ETM	2013-05-03 08:23:01	20620	1240
3532440	A47	347	0	16	5428	985	392	20650	1951012	1	40	ETM	2013-05-03 08:23:01	21720	1070
3532441	A47	347	1	17	5466	985	29	21780	1951012	1	40	ETM	2013-05-03 08:23:01	22785	1005
3532442	A47	347	0	16	5428	985	409	22815	1951012	1	40	ETM	2013-05-03 08:23:01	23885	1070
3532443	A47	347	1	17	5466	985	47	24000	1951012	1	40	ETM	2013-05-03 08:23:01	25005	1005
3532444	A47	347	0	16	5428	985	428	25035	1951012	1	40	ETM	2013-05-03 08:23:01	26105	1070
3532445	A47	347	1	17	5466	985	66	26160	1951012	1	40	ETM	2013-05-03 08:23:01	27165	1005
3532446	A47	347	0	16	5428	985	447	27195	1951012	1	40	ETM	2013-05-03 08:23:01	28265	1070
3532447	A47	347	1	17	5466	985	85	28295	1951012	1	40	ETM	2013-05-03 08:23:01	29300	1005
3532448	A47	347	0	16	5428	985	466	29330	1951012	1	40	ETM	2013-05-03 08:23:01	30400	1070
3532449	A47	347	1	17	5466	985	100	30430	1951012	1	40	ETM	2013-05-03 08:23:01	31435	1005
3532450	A47	347	0	16	5428	985	480	31465	1951012	1	40	ETM	2013-05-03 08:23:01	32535	1070
3532451	A47	347	1	17	5466	985	113	32610	1951012	1	40	ETM	2013-05-03 08:23:01	33615	1005
3532452	A47	347	0	16	5428	985	494	33645	1951012	1	40	ETM	2013-05-03 08:23:01	34715	1070
3532453	A47	347	1	17	5466	985	123	34755	1951012	1	40	ETM	2013-05-03 08:23:01	35760	1005
3532454	A47	347	0	16	5428	985	504	35790	1951012	1	40	ETM	2013-05-03 08:23:01	36860	1070
3532455	A47	347	1	17	5466	985	133	36900	1951012	1	40	ETM	2013-05-03 08:23:01	37905	1005
3532456	A47	347	0	16	5428	985	514	37935	1951012	1	40	ETM	2013-05-03 08:23:01	39005	1070
3532457	A47	347	1	17	5466	985	143	39045	1951012	1	40	ETM	2013-05-03 08:23:01	40050	1005
3532458	A47	347	0	16	5428	985	524	40080	1951012	1	40	ETM	2013-05-03 08:23:01	41150	1070
3532459	A47	347	1	17	5466	985	153	41190	1951012	1	40	ETM	2013-05-03 08:23:01	42195	1005
3532460	A47	347	0	16	5428	985	534	42285	1951012	1	40	ETM	2013-05-03 08:23:01	43355	1070
3532461	A47	347	1	17	5466	985	163	43395	1951012	1	40	ETM	2013-05-03 08:23:01	44400	1005
3532462	A47	347	0	16	5428	985	544	44430	1951012	1	40	ETM	2013-05-03 08:23:01	45500	1070
3532463	A47	347	1	17	5466	985	173	45540	1951012	1	40	ETM	2013-05-03 08:23:01	46545	1005
3532464	A47	347	0	16	5428	985	554	46575	1951012	1	40	ETM	2013-05-03 08:23:01	47645	1070
3532465	A47	347	1	17	5466	985	183	47685	1951012	1	40	ETM	2013-05-03 08:23:01	48690	1005
3532466	A47	347	0	16	5428	985	564	48720	1951012	1	40	ETM	2013-05-03 08:23:01	49790	1070
3532467	A47	347	1	17	5466	985	193	49830	1951012	1	40	ETM	2013-05-03 08:23:01	50835	1005
3532468	A47	347	0	16	5428	985	574	50865	1951012	1	40	ETM	2013-05-03 08:23:01	51935	1070
3532469	A47	347	1	17	5466	985	203	52035	1951012	1	40	ETM	2013-05-03 08:23:01	53040	1005
3532470	A47	347	0	16	5428	985	584	53070	1951012	1	40	ETM	2013-05-03 08:23:01	54140	1070
3532471	A47	347	1	17	5466	985	213	54180	1951012	1	40	ETM	2013-05-03 08:23:01	55185	1005
3532472	A47	347	0	16	5428	985	594	55215	1951012	1	40	ETM	2013-05-03 08:23:01	56285	1070
3532473	A47	347	1	17	5466	985	223	56325	1951012	1	40	ETM	2013-05-03 08:23:01	57330	1005
3532474	A47	347	0	16	5428	985	604	57360	1951012	1	40	ETM	2013-05-03 08:23:01	58430	1070
3532475	A47	347	1	17	5466	985	234	58485	1951012	1	40	ETM	2013-05-03 08:23:01	59490	1005
3532476	A47	347	0	16	5428	985	615	59520	1951012	1	40	ETM	2013-05-03 08:23:01	60590	1070
3532477	A47	347	1	17	5466	985	245	60645	1951012	1	40	ETM	2013-05-03 08:23:01	61650	1005
3532478	A47	347	0	16	5428	985	627	61680	1951012	1	40	ETM	2013-05-03 08:23:01	62750	1070
3532479	A47	347	1	17	5466	985	260	62925	1951012	1	40	ETM	2013-05-03 08:23:01	63930	1005
3532480	A47	347	0	16	5428	985	642	63960	1951012	1	40	ETM	2013-05-03 08:23:01	65030	1070
3532481	A47	347	1	17	5466	985	275	65085	1951012	1	40	ETM	2013-05-03 08:23:01	66090	1005
3532482	A47	347	0	16	5428	985	657	66120	1951012	1	40	ETM	2013-05-03 08:23:01	67190	1070
3532483	A47	347	1	17	5466	985	290	67245	1951012	1	40	ETM	2013-05-03 08:23:01	68250	1005
3532484	A47	347	0	16	5428	985	672	68280	1951012	1	40	ETM	2013-05-03 08:23:01	69350	1070
3532485	A51	351	0	25	7292	101	158	16860	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	18537	1677
3532486	A51	351	1	12	3606	101	3	18600	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	19415	815
3532487	A51	351	0	33	9143	101	166	19445	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	21537	2092
3534242	A71	371	0	12	4127	132	117	30155	1951017	1	40	Git Masivo	2013-05-03 08:23:01	30930	775
3534243	A71	371	1	12	4334	132	16	31200	1951017	1	40	Git Masivo	2013-05-03 08:23:01	32105	905
3534244	A71	371	0	12	4127	132	120	32135	1951017	1	40	Git Masivo	2013-05-03 08:23:01	32910	775
3534245	A71	371	1	12	4334	132	19	33180	1951017	1	40	Git Masivo	2013-05-03 08:23:01	34085	905
3534246	A71	371	0	12	4127	132	123	34115	1951017	1	40	Git Masivo	2013-05-03 08:23:01	34890	775
3534247	A71	371	1	12	4334	132	22	35160	1951017	1	40	Git Masivo	2013-05-03 08:23:01	36065	905
3534248	A71	371	0	12	4127	132	126	36095	1951017	1	40	Git Masivo	2013-05-03 08:23:01	36870	775
3534249	A71	371	1	12	4334	132	25	37140	1951017	1	40	Git Masivo	2013-05-03 08:23:01	38045	905
3534250	A71	371	0	12	4127	132	129	38075	1951017	1	40	Git Masivo	2013-05-03 08:23:01	38850	775
3534251	A71	371	1	12	4334	132	28	39120	1951017	1	40	Git Masivo	2013-05-03 08:23:01	40025	905
3534252	A71	371	0	12	4127	132	132	40055	1951017	1	40	Git Masivo	2013-05-03 08:23:01	40830	775
3534253	A71	371	1	12	4334	132	31	41100	1951017	1	40	Git Masivo	2013-05-03 08:23:01	42005	905
3534254	A71	371	0	12	4127	132	135	42035	1951017	1	40	Git Masivo	2013-05-03 08:23:01	42810	775
3534255	A71	371	1	12	4334	132	34	43080	1951017	1	40	Git Masivo	2013-05-03 08:23:01	43985	905
3534256	A71	371	0	12	4127	132	138	44015	1951017	1	40	Git Masivo	2013-05-03 08:23:01	44790	775
3534257	A71	371	1	12	4334	132	37	45060	1951017	1	40	Git Masivo	2013-05-03 08:23:01	45965	905
3534258	A71	371	0	12	4127	132	141	45995	1951017	1	40	Git Masivo	2013-05-03 08:23:01	46770	775
3534259	A71	371	1	12	4334	132	40	47040	1951017	1	40	Git Masivo	2013-05-03 08:23:01	47945	905
3534260	A71	371	0	12	4127	132	144	47975	1951017	1	40	Git Masivo	2013-05-03 08:23:01	48750	775
3534261	A71	371	1	12	4334	132	43	49020	1951017	1	40	Git Masivo	2013-05-03 08:23:01	49925	905
3534262	A71	371	0	12	4127	132	147	49955	1951017	1	40	Git Masivo	2013-05-03 08:23:01	50730	775
3534263	A71	371	1	12	4334	132	46	50790	1951017	1	40	Git Masivo	2013-05-03 08:23:01	51695	905
3534264	A71	371	0	12	4127	132	151	51725	1951017	1	40	Git Masivo	2013-05-03 08:23:01	52500	775
3534265	A71	371	1	12	4334	132	50	52590	1951017	1	40	Git Masivo	2013-05-03 08:23:01	53495	905
3534266	A71	371	0	12	4127	132	155	53525	1951017	1	40	Git Masivo	2013-05-03 08:23:01	54300	775
3534267	A71	371	1	12	4334	132	54	54390	1951017	1	40	Git Masivo	2013-05-03 08:23:01	55295	905
3534268	A71	371	0	12	4127	132	159	55325	1951017	1	40	Git Masivo	2013-05-03 08:23:01	56100	775
3534269	A71	371	1	12	4334	132	58	56190	1951017	1	40	Git Masivo	2013-05-03 08:23:01	57095	905
3534270	A71	371	0	12	4127	132	163	57125	1951017	1	40	Git Masivo	2013-05-03 08:23:01	57900	775
3534271	A71	371	1	12	4334	132	62	57990	1951017	1	40	Git Masivo	2013-05-03 08:23:01	58895	905
3534272	A71	371	0	12	4127	132	167	58925	1951017	1	40	Git Masivo	2013-05-03 08:23:01	59700	775
3534273	A71	371	1	12	4334	132	66	59790	1951017	1	40	Git Masivo	2013-05-03 08:23:01	60695	905
3534274	A71	371	0	12	4127	132	171	60725	1951017	1	40	Git Masivo	2013-05-03 08:23:01	61500	775
3534275	A71	371	1	12	4334	132	70	61590	1951017	1	40	Git Masivo	2013-05-03 08:23:01	62495	905
3534276	A71	371	0	12	4127	132	175	62525	1951017	1	40	Git Masivo	2013-05-03 08:23:01	63300	775
3534277	A71	371	1	12	4334	132	74	63390	1951017	1	40	Git Masivo	2013-05-03 08:23:01	64295	905
3534278	A71	371	0	12	4127	132	179	64325	1951017	1	40	Git Masivo	2013-05-03 08:23:01	65100	775
3534279	A71	371	1	12	4334	132	78	65190	1951017	1	40	Git Masivo	2013-05-03 08:23:01	66095	905
3534280	A71	371	0	12	4127	132	183	66125	1951017	1	40	Git Masivo	2013-05-03 08:23:01	66900	775
3534281	A71	371	1	12	4334	132	82	66990	1951017	1	40	Git Masivo	2013-05-03 08:23:01	67895	905
3534282	A71	371	0	12	4127	132	187	67925	1951017	1	40	Git Masivo	2013-05-03 08:23:01	68700	775
3534283	A71	371	1	12	4334	132	86	69000	1951017	1	40	Git Masivo	2013-05-03 08:23:01	69905	905
3534284	A71	371	0	12	4127	132	191	69935	1951017	1	40	Git Masivo	2013-05-03 08:23:01	70710	775
3534285	A71	371	1	12	4334	132	89	70920	1951017	1	40	Git Masivo	2013-05-03 08:23:01	71825	905
3534286	A71	371	0	12	4127	132	194	71855	1951017	1	40	Git Masivo	2013-05-03 08:23:01	72630	775
3534287	A71	371	1	12	4334	132	91	72660	1951017	1	40	Git Masivo	2013-05-03 08:23:01	73565	905
3534288	A71	371	0	12	4127	132	196	73595	1951017	1	40	Git Masivo	2013-05-03 08:23:01	74370	775
3534289	A71	371	1	12	4334	132	93	74400	1951017	1	40	Git Masivo	2013-05-03 08:23:01	75305	905
3534290	A71	371	0	12	4127	132	198	75335	1951017	1	40	Git Masivo	2013-05-03 08:23:01	76110	775
3534291	A71	371	1	12	4334	132	95	76140	1951017	1	40	Git Masivo	2013-05-03 08:23:01	77045	905
3534292	A71	371	0	12	4127	132	200	77075	1951017	1	40	Git Masivo	2013-05-03 08:23:01	77850	775
3534293	A71	371	1	12	4334	132	97	77940	1951017	1	40	Git Masivo	2013-05-03 08:23:01	78845	905
3534294	A71	371	0	12	4127	132	202	78875	1951017	1	40	Git Masivo	2013-05-03 08:23:01	79650	775
3534295	A71	371	1	12	4334	132	99	79740	1951017	1	40	Git Masivo	2013-05-03 08:23:01	80645	905
3534296	A71	371	0	12	4127	132	204	80675	1951017	1	40	Git Masivo	2013-05-03 08:23:01	81450	775
3534297	A71	371	1	12	4334	132	101	81540	1951017	1	40	Git Masivo	2013-05-03 08:23:01	82445	905
3534298	A71	371	0	12	4127	194	104	20135	1951017	1	40	Git Masivo	2013-05-03 08:23:01	20910	775
3534299	A71	371	1	12	4334	194	2	21000	1951017	1	40	Git Masivo	2013-05-03 08:23:01	21905	905
3534300	A71	371	0	12	4127	194	106	21935	1951017	1	40	Git Masivo	2013-05-03 08:23:01	22710	775
3534301	A71	371	1	12	4334	194	4	22800	1951017	1	40	Git Masivo	2013-05-03 08:23:01	23705	905
3534302	A71	371	0	12	4127	194	108	23735	1951017	1	40	Git Masivo	2013-05-03 08:23:01	24510	775
3534303	A71	371	1	12	4334	194	6	24600	1951017	1	40	Git Masivo	2013-05-03 08:23:01	25505	905
3534304	A71	371	0	12	4127	194	110	25535	1951017	1	40	Git Masivo	2013-05-03 08:23:01	26310	775
3534305	A71	371	1	12	4334	194	9	26580	1951017	1	40	Git Masivo	2013-05-03 08:23:01	27485	905
3534306	A71	371	0	12	4127	194	113	27515	1951017	1	40	Git Masivo	2013-05-03 08:23:01	28290	775
3534307	A71	371	1	12	4334	194	12	28560	1951017	1	40	Git Masivo	2013-05-03 08:23:01	29465	905
3534308	A71	371	0	12	4127	194	116	29495	1951017	1	40	Git Masivo	2013-05-03 08:23:01	30270	775
3534309	A71	371	1	12	4334	194	15	30540	1951017	1	40	Git Masivo	2013-05-03 08:23:01	31445	905
3534310	A71	371	0	12	4127	194	119	31475	1951017	1	40	Git Masivo	2013-05-03 08:23:01	32250	775
3534311	A71	371	1	12	4334	194	18	32520	1951017	1	40	Git Masivo	2013-05-03 08:23:01	33425	905
3534312	A71	371	0	12	4127	194	122	33455	1951017	1	40	Git Masivo	2013-05-03 08:23:01	34230	775
3534313	A71	371	1	12	4334	194	21	34500	1951017	1	40	Git Masivo	2013-05-03 08:23:01	35405	905
3534314	A71	371	0	12	4127	194	125	35435	1951017	1	40	Git Masivo	2013-05-03 08:23:01	36210	775
3534315	A71	371	1	12	4334	194	24	36480	1951017	1	40	Git Masivo	2013-05-03 08:23:01	37385	905
3534316	A71	371	0	12	4127	194	128	37415	1951017	1	40	Git Masivo	2013-05-03 08:23:01	38190	775
3534317	A71	371	1	12	4334	194	27	38460	1951017	1	40	Git Masivo	2013-05-03 08:23:01	39365	905
3534318	A71	371	0	12	4127	194	131	39395	1951017	1	40	Git Masivo	2013-05-03 08:23:01	40170	775
3534319	A71	371	1	12	4334	194	30	40440	1951017	1	40	Git Masivo	2013-05-03 08:23:01	41345	905
3534320	A71	371	0	12	4127	194	134	41375	1951017	1	40	Git Masivo	2013-05-03 08:23:01	42150	775
3534321	A71	371	1	12	4334	194	33	42420	1951017	1	40	Git Masivo	2013-05-03 08:23:01	43325	905
3534322	A71	371	0	12	4127	194	137	43355	1951017	1	40	Git Masivo	2013-05-03 08:23:01	44130	775
3534323	A71	371	1	12	4334	194	36	44400	1951017	1	40	Git Masivo	2013-05-03 08:23:01	45305	905
3534324	A71	371	0	12	4127	194	140	45335	1951017	1	40	Git Masivo	2013-05-03 08:23:01	46110	775
3534325	A71	371	1	12	4334	194	39	46380	1951017	1	40	Git Masivo	2013-05-03 08:23:01	47285	905
3534326	A71	371	0	12	4127	194	143	47315	1951017	1	40	Git Masivo	2013-05-03 08:23:01	48090	775
3534327	A71	371	1	12	4334	194	42	48360	1951017	1	40	Git Masivo	2013-05-03 08:23:01	49265	905
3534328	A71	371	0	12	4127	194	146	49295	1951017	1	40	Git Masivo	2013-05-03 08:23:01	50070	775
3534329	A71	371	1	12	4334	194	45	50340	1951017	1	40	Git Masivo	2013-05-03 08:23:01	51245	905
3534330	A71	371	0	12	4127	194	150	51275	1951017	1	40	Git Masivo	2013-05-03 08:23:01	52050	775
3534331	A71	371	1	12	4334	194	49	52140	1951017	1	40	Git Masivo	2013-05-03 08:23:01	53045	905
3534332	A71	371	0	12	4127	194	154	53075	1951017	1	40	Git Masivo	2013-05-03 08:23:01	53850	775
3534333	A71	371	1	12	4334	194	53	53940	1951017	1	40	Git Masivo	2013-05-03 08:23:01	54845	905
3534334	A71	371	0	12	4127	194	158	54875	1951017	1	40	Git Masivo	2013-05-03 08:23:01	55650	775
3534335	A71	371	1	12	4334	194	57	55740	1951017	1	40	Git Masivo	2013-05-03 08:23:01	56645	905
3534336	A71	371	0	12	4127	194	162	56675	1951017	1	40	Git Masivo	2013-05-03 08:23:01	57450	775
3534337	A71	371	1	12	4334	194	61	57540	1951017	1	40	Git Masivo	2013-05-03 08:23:01	58445	905
3534338	A71	371	0	12	4127	194	166	58475	1951017	1	40	Git Masivo	2013-05-03 08:23:01	59250	775
3534339	A71	371	1	12	4334	194	65	59340	1951017	1	40	Git Masivo	2013-05-03 08:23:01	60245	905
3534340	A71	371	0	12	4127	194	170	60275	1951017	1	40	Git Masivo	2013-05-03 08:23:01	61050	775
3534341	A71	371	1	12	4334	194	69	61140	1951017	1	40	Git Masivo	2013-05-03 08:23:01	62045	905
3534342	A71	371	0	12	4127	194	174	62075	1951017	1	40	Git Masivo	2013-05-03 08:23:01	62850	775
3534343	A71	371	1	12	4334	194	73	62940	1951017	1	40	Git Masivo	2013-05-03 08:23:01	63845	905
3534344	A71	371	0	12	4127	194	178	63875	1951017	1	40	Git Masivo	2013-05-03 08:23:01	64650	775
3534345	A71	371	1	12	4334	194	77	64740	1951017	1	40	Git Masivo	2013-05-03 08:23:01	65645	905
3534346	A71	371	0	12	4127	194	182	65675	1951017	1	40	Git Masivo	2013-05-03 08:23:01	66450	775
3534347	A71	371	1	12	4334	194	81	66540	1951017	1	40	Git Masivo	2013-05-03 08:23:01	67445	905
3534348	A71	371	0	12	4127	194	186	67475	1951017	1	40	Git Masivo	2013-05-03 08:23:01	68250	775
3534349	A71	371	1	12	4334	194	85	68340	1951017	1	40	Git Masivo	2013-05-03 08:23:01	69245	905
3534350	A71	371	0	12	4127	194	190	69275	1951017	1	40	Git Masivo	2013-05-03 08:23:01	70050	775
3534351	A71	371	1	12	4334	194	88	70320	1951017	1	40	Git Masivo	2013-05-03 08:23:01	71225	905
3534352	A71	371	0	12	4127	194	193	71255	1951017	1	40	Git Masivo	2013-05-03 08:23:01	72030	775
3534353	A71	371	1	12	4334	199	8	25920	1951017	1	40	Git Masivo	2013-05-03 08:23:01	26825	905
3534354	A71	371	0	12	4127	199	112	26855	1951017	1	40	Git Masivo	2013-05-03 08:23:01	27630	775
3534355	A71	371	1	12	4334	199	11	27900	1951017	1	40	Git Masivo	2013-05-03 08:23:01	28805	905
3534356	A71	371	0	12	4127	199	115	28835	1951017	1	40	Git Masivo	2013-05-03 08:23:01	29610	775
3534357	A71	371	1	12	4334	199	14	29880	1951017	1	40	Git Masivo	2013-05-03 08:23:01	30785	905
3534358	A71	371	0	12	4127	199	118	30815	1951017	1	40	Git Masivo	2013-05-03 08:23:01	31590	775
